"property","description","type","default","version","isEnum"
"allowClear","Whether to allow clear when click again","boolean","true","",false
"allowHalf","Whether to allow semi selection","boolean","false","",false
"autoFocus","If get focus when component mounted","boolean","false","",false
"character","The custom character of rate","ReactNode | (RateProps) => ReactNode","<StarFilled />","function(): 4.4.0",false
"className","The custom class name of rate","string","-","",false
"count","Star count","number","5","",false
"defaultValue","The default value","number","0","",false
"disabled","If read only, unable to interact","boolean","false","",false
"style","The custom style object of rate","CSSProperties","-","",false
"tooltips","Customize tooltip by each character","string[]","-","",false
"value","The current value","number","-","",false
"onBlur","Callback when component lose focus","function()","-","",false
"onChange","Callback when select value","function(value: number)","-","",false
"onFocus","Callback when component get focus","function()","-","",false
"onHoverChange","Callback when hover item","function(value: number)","-","",false
"onKeyDown","Callback when keydown on component","function(event)","-","",false
