"property","description","type","default","version","isEnum"
"decimalSeparator","The decimal separator","string",".","",false
"formatter","Customize value display logic","(value) => ReactNode","-","",false
"groupSeparator","Group separator","string",",","",false
"loading","Loading status of Statistic","boolean","false","4.8.0",false
"precision","The precision of input value","number","-","",false
"prefix","The prefix node of value","ReactNode","-","",false
"suffix","The suffix node of value","ReactNode","-","",false
"title","Display title","ReactNode","-","",false
"value","Display value","string | number","-","",false
"valueStyle","Set value css style","CSSProperties","-","",false
